"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1058","Should GET not sorted customers list (incorrect sort order)","api","Tue Feb 04 14:13:07 YEKT 2025","passed","Tue Feb 04 14:13:08 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","641","Should GET customers sorted by email in desc order","api","Tue Feb 04 14:13:08 YEKT 2025","passed","Tue Feb 04 14:13:09 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","877","Should GET customers sorted by email in asc order","webkit","Tue Feb 04 14:13:26 YEKT 2025","passed","Tue Feb 04 14:13:27 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","130","Should NOT GET the full list of customers with empty authorization token","webkit","Tue Feb 04 14:13:29 YEKT 2025","passed","Tue Feb 04 14:13:30 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","293","Should GET products filtred by country","webkit","Tue Feb 04 14:13:21 YEKT 2025","passed","Tue Feb 04 14:13:21 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","240","Should NOT GET the full list of customers with incorrect authorization token","firefox","Tue Feb 04 14:13:19 YEKT 2025","passed","Tue Feb 04 14:13:20 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","431","Should GET an empty list of customers by setting strict search string conditions","webkit","Tue Feb 04 14:13:24 YEKT 2025","passed","Tue Feb 04 14:13:25 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1076","Should GET customers sorted by name in desc order","api","Tue Feb 04 14:13:06 YEKT 2025","passed","Tue Feb 04 14:13:07 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1308","Should GET customers sorted by country in asc order","api","Tue Feb 04 14:13:05 YEKT 2025","passed","Tue Feb 04 14:13:07 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1241","Should GET customers sorted by email in desc order","firefox","Tue Feb 04 14:13:20 YEKT 2025","passed","Tue Feb 04 14:13:21 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","140","Should NOT GET the full list of customers with incorrect authorization token","api","Tue Feb 04 14:13:08 YEKT 2025","passed","Tue Feb 04 14:13:08 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1721","Should GET customers sorted by createdOn in desc order","firefox","Tue Feb 04 14:13:12 YEKT 2025","passed","Tue Feb 04 14:13:14 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","867","Should GET customers sorted by createdOn in asc order","firefox","Tue Feb 04 14:13:21 YEKT 2025","passed","Tue Feb 04 14:13:22 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","685","Should GET customers sorted by country in asc order","firefox","Tue Feb 04 14:13:17 YEKT 2025","passed","Tue Feb 04 14:13:18 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","530","Should GET products filtred by name","webkit","Tue Feb 04 14:13:20 YEKT 2025","passed","Tue Feb 04 14:13:21 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","396","Should GET products filtred by name","firefox","Tue Feb 04 14:13:16 YEKT 2025","passed","Tue Feb 04 14:13:17 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","175","Should GET products filtred by email","webkit","Tue Feb 04 14:13:21 YEKT 2025","passed","Tue Feb 04 14:13:21 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
